# step time kinetic potential total_energy com_x com_y rms_radius
0 0 854.52596321267504 -477131.92665319709 -476277.40068998444 0.012302156921829356 0.069173369988179259 8.0587779793254626
10 0.10000000000000001 20505.812791736658 -498269.29226978886 -477763.47947805218 0.010239290899656785 0.069676875857812154 7.9339718031559174
20 0.20000000000000001 60306.451983713203 -539166.94800548174 -478860.49602176854 0.0081764248774839066 0.070180381727444882 7.5823148209094535
30 0.29999999999999999 130608.60510408854 -609932.15829475387 -479323.55319066532 0.0061135588553108619 0.070683887597077666 6.9975702989907242
40 0.40000000000000002 222354.12838786465 -703835.19399444712 -481481.06560658244 0.0040506928331378381 0.071187393466710644 6.1622021876254589
50 0.5 412414.09192856611 -900524.2007889729 -488110.10886040679 0.0019878268109653125 0.071690899336343289 5.0342324053191465
60 0.59999999999999998 791969.34715098434 -1281061.8337982029 -489092.48664721858 -7.5039211207538219e-05 0.072194405205976322 3.5804098572309448
70 0.70000000000000007 1564321.5417451032 -2089294.7956329694 -524973.25388786616 -0.0021379052333803986 0.07269791107560894 1.9273694198510032
80 0.80000000000000004 1478684.6683718772 -1844216.1063760878 -365531.43800421059 -0.0042007712555532737 0.073201416945241723 2.098027525395969
90 0.90000000000000002 725480.07222150313 -1134160.347096876 -408680.27487537288 -0.0062636372777261874 0.073704922814874521 3.7165570560564229
100 1 478402.34216456482 -896251.66192579514 -417849.31976123032 -0.0083265032998988825 0.074208428684507194 5.1025805840886598
110 1.1000000000000001 419555.10592709476 -840744.63230087887 -421189.52637378412 -0.010389369322071716 0.0747119345541397 6.2437737496917487
120 1.2 442251.8525035301 -861437.39612218377 -419185.54361865367 -0.012452235344244719 0.075215440423772706 7.2228892468262975
130 1.3 517723.99988972128 -934122.06548374146 -416398.06559402018 -0.014515101366417477 0.075718946293405198 8.1134594789773491
140 1.4000000000000001 549658.74284211989 -959635.01747298054 -409976.27463086066 -0.016577967388590336 0.076222452163037802 8.9750055902835157
150 1.5 567252.04460341402 -964882.44839369704 -397630.40379028302 -0.018640833410763374 0.076725958032670641 9.8333143456230925
160 1.6000000000000001 522760.40037950804 -917042.41301771672 -394282.01263820869 -0.02070369943293596 0.077229463902303369 10.69379290649017
170 1.7 485814.40753361769 -873636.70972178318 -387822.30218816549 -0.022766565455109047 0.077732969771936083 11.54500555941944
180 1.8 492100.18577636388 -877834.73411457613 -385734.54833821225 -0.024829431477281956 0.078236475641569089 12.379374723211928
190 1.9000000000000001 494399.83869842044 -873687.17555475386 -379287.33685633342 -0.02689229749945447 0.078739981511201693 13.201752112417687
200 2 473903.09265513509 -851130.34322202951 -377227.25056689442 -0.028955163521627639 0.079243487380834407 14.015112786001431
210 2.1000000000000001 459039.25827697612 -836422.71674157039 -377383.45846459427 -0.031018029543800462 0.079746993250466899 14.816858497257543
220 2.2000000000000002 463327.4243523003 -835840.24539089564 -372512.82103859534 -0.033080895565973836 0.080250499120099794 15.606498722645094
230 2.3000000000000003 469636.15304401465 -840211.6306494762 -370575.47760546155 -0.035143761588146104 0.080754004989732509 16.387328810488484
240 2.3999999999999999 489137.8987177675 -850926.78877372434 -361788.89005595684 -0.037206627610318253 0.081257510859365042 17.163259799879235
250 2.5 471881.63375215867 -829622.92012604 -357741.28637388133 -0.039269493632491471 0.081761016728997715 17.938728180841132
260 2.6000000000000001 465607.04111556092 -824264.70688034664 -358657.66576478572 -0.041332359654664939 0.082264522598630957 18.711585366040811
270 2.7000000000000002 460206.81350307015 -817723.77306141413 -357516.95955834398 -0.043395225676837783 0.082768028468263061 19.481450241925106
280 2.8000000000000003 472108.84174063778 -826553.28893884725 -354444.44719820947 -0.045458091699009461 0.083271534337896524 20.248342209796263
290 2.8999999999999999 454775.75898820237 -804826.61331116059 -350050.85432295821 -0.04752095772118281 0.083775040207528587 21.014016082508572
300 3 466942.92188029038 -812031.41172974487 -345088.48984945449 -0.049583823743356285 0.084278546077161565 21.777535698454447
310 3.1000000000000001 455847.9553564511 -801071.18679655681 -345223.23144010571 -0.05164668976552849 0.084782051946794876 22.540155227499547
320 3.2000000000000002 469307.85310454591 -809741.62312750833 -340433.77002296242 -0.053709555787700945 0.08528555781642734 23.301633295984804
